timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
4343,0.0581268,0.0809807,0.0597409,rest
4347,0.0577518,0.0809554,0.0597409,rest
4349,0.178255,0.0844122,0.0597409,rest
4352,0.130754,0.0857205,0.0597409,rest
4354,0.0620019,0.0854077,0.0597409,rest
4357,0.0577518,0.0838467,0.0597409,rest
4360,0.0591268,0.0838761,0.0597409,rest
4363,0.0568767,0.0838502,0.0597409,rest
4366,0.0591268,0.0838252,0.0597409,rest
4369,0.0593768,0.0838163,0.0597409,rest
4372,0.0596268,0.0838795,0.0597409,rest
4375,0.0613769,0.0839223,0.0597409,rest
4378,0.0606269,0.0839295,0.0597409,rest
4381,0.0562517,0.0839005,0.0597409,rest
4384,0.0583768,0.08389,0.0597409,rest
4387,0.0556267,0.0838491,0.0597409,rest
4390,0.0578768,0.0838317,0.0597409,rest
4392,0.0603768,0.0839138,0.0597409,rest
4395,0.0590018,0.0839312,0.0597409,rest
4398,0.0586268,0.0758762,0.0597409,rest
4401,0.0588768,0.068501,0.0597409,rest
4404,0.0573768,0.0683551,0.0597409,rest
4406,0.0583768,0.0683551,0.0597409,rest
4409,0.0553767,0.0683388,0.0597409,rest
4412,0.0606269,0.0684053,0.0597409,rest
4415,0.0568767,0.0683821,0.0597409,rest
4417,0.0578768,0.0682705,0.0597409,rest
4420,0.0566267,0.0682643,0.0597409,rest
4423,0.0590018,0.0683209,0.0597409,rest
4425,0.0583768,0.0683167,0.0597409,rest
4428,0.0586268,0.0683145,0.0597409,rest
4431,0.0585018,0.0683726,0.0597409,rest
4433,0.0558767,0.0682486,0.0597409,rest
4436,0.0595018,0.0682976,0.0597409,rest
4439,0.173255,0.0720965,0.0597409,rest
4441,0.0620019,0.0721489,0.0597409,rest
4444,0.138629,0.0742961,0.0597409,rest
4447,0.0583768,0.0743097,0.0597409,rest
4449,0.0572518,0.0742541,0.0597409,rest
4452,0.0591268,0.0742854,0.0597409,rest
4454,0.0572518,0.0742257,0.0597409,rest
4457,0.0585018,0.0742098,0.0597409,rest
4460,0.0602518,0.0742078,0.0597409,rest
4463,0.0621269,0.0742745,0.0597409,rest
4466,0.0571267,0.0742687,0.0597409,rest
4469,0.0595018,0.0742647,0.0597409,rest
4472,0.0561267,0.0742437,0.0597409,rest
4474,0.0590018,0.0742357,0.0597409,rest
4477,0.0598768,0.0732622,0.0597409,rest
4480,0.0581268,0.0715622,0.0597409,rest
4483,0.0576268,0.0715541,0.0597409,rest
4486,0.0592518,0.0715787,0.0597409,rest
4488,0.0585018,0.0675015,0.0597409,rest
4491,0.0567517,0.0654136,0.0597409,rest
4494,0.0606269,0.0653878,0.0597409,rest
4497,0.0593768,0.0654169,0.0597409,rest
4500,0.0575018,0.0653879,0.0597409,rest
4503,0.0595018,0.0654346,0.0597409,rest
4505,0.0590018,0.0654324,0.0597409,rest
4508,0.0572518,0.0653945,0.0597409,rest
4512,0.0595018,0.0653922,0.0597409,rest
4515,0.0577518,0.0653261,0.0597409,rest
4517,0.0575018,0.0652696,0.0597409,rest
4520,0.0591268,0.0653204,0.0597409,rest
4523,0.0566267,0.0652896,0.0597409,rest
