timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
4333,0.0521266,0.0530554,0.0532848,rest
4336,0.0526266,0.0530227,0.0532848,rest
4339,0.0522516,0.0530152,0.0532848,rest
4342,0.0527516,0.0529901,0.0532848,rest
4344,0.0523766,0.0529726,0.0532848,rest
4347,0.0513766,0.0529204,0.0532848,rest
4350,0.0531266,0.0529103,0.0532848,rest
4352,0.0516266,0.0528781,0.0532848,rest
4355,0.0518766,0.0528657,0.0532848,rest
4359,0.0508766,0.052796,0.0532848,rest
4361,0.0505015,0.0527419,0.0532848,rest
4364,0.0517516,0.0527221,0.0532848,rest
4367,0.0506265,0.0526474,0.0532848,rest
4369,0.0532516,0.0526269,0.0532848,rest
4373,0.0515016,0.0525971,0.0532848,rest
4376,0.0515016,0.0525898,0.0532848,rest
4378,0.0511266,0.0525501,0.0532848,rest
4381,0.0527516,0.0525551,0.0532848,rest
4383,0.0505015,0.0525084,0.0532848,rest
4386,0.0547517,0.0525392,0.0532848,rest
4389,0.0517516,0.0525218,0.0532848,rest
4391,0.0522516,0.0525143,0.0532848,rest
4394,0.0546267,0.0525476,0.0532848,rest
4397,0.0512516,0.0525279,0.0532848,rest
4399,0.0511266,0.0524958,0.0532848,rest
4402,0.0520016,0.0524554,0.0532848,rest
4404,0.0518766,0.0524227,0.0532848,rest
4407,0.0517516,0.0523901,0.0532848,rest
4410,0.0498765,0.0523363,0.0532848,rest
4413,0.0516266,0.0523063,0.0532848,rest
4415,0.0512516,0.0522764,0.0532848,rest
4418,0.0522516,0.0522987,0.0532848,rest
4420,0.0522516,0.0522579,0.0532848,rest
4424,0.0506265,0.0522057,0.0532848,rest
4426,0.0506265,0.0521712,0.0532848,rest
4429,0.0525016,0.0521534,0.0532848,rest
4432,0.0526266,0.0521201,0.0532848,rest
4434,0.0521266,0.0521126,0.0532848,rest
4437,0.0513766,0.0521076,0.0532848,rest
4440,0.0516266,0.0520775,0.0532848,rest
4442,0.0515016,0.0520524,0.0532848,rest
4445,0.0518766,0.0520374,0.0532848,rest
4447,0.0517516,0.0519812,0.0532848,rest
4450,0.0521266,0.0519584,0.0532848,rest
4452,0.0518766,0.0519483,0.0532848,rest
4455,0.0515016,0.0519359,0.0532848,rest
4458,0.0513766,0.0519006,0.0532848,rest
4461,0.0518766,0.0518931,0.0532848,rest
4463,0.0506265,0.0518809,0.0532848,rest
4466,0.0528766,0.0518498,0.0532848,rest
4468,0.0527516,0.0518625,0.0532848,rest
4471,0.0511266,0.0518325,0.0532848,rest
4474,0.0526266,0.05184,0.0532848,rest
4476,0.0505015,0.0517952,0.0532848,rest
4479,0.0502515,0.0517531,0.0532848,rest
4482,0.0516266,0.0517581,0.0532848,rest
4484,0.0518766,0.0517327,0.0532848,rest
4487,0.0518766,0.0517377,0.0532848,rest
4490,0.0513766,0.0517277,0.0532848,rest
4493,0.0511266,0.0517326,0.0532848,rest
4495,0.0516266,0.0517549,0.0532848,rest
4498,0.0505015,0.0517302,0.0532848,rest
4501,0.0507516,0.0517326,0.0532848,rest
4503,0.0518766,0.0517047,0.0532848,rest
4506,0.0530016,0.051735,0.0532848,rest
4509,0.0511266,0.0517275,0.0532848,rest
4511,0.0516266,0.0517375,0.0532848,rest
4514,0.0526266,0.0517349,0.0532848,rest
4517,0.0516266,0.0517571,0.0532848,rest
4519,0.0521266,0.0517029,0.0532848,rest
4522,0.0508766,0.0516855,0.0532848,rest
4525,0.0501265,0.0516434,0.0532848,rest
4527,0.0498765,0.0515472,0.0532848,rest
4530,0.0512516,0.0515472,0.0532848,rest
4532,0.0522516,0.0515697,0.0532848,rest
4535,0.0500015,0.0515302,0.0532848,rest
4538,0.0508766,0.0515102,0.0532848,rest
4541,0.0513766,0.0515027,0.0532848,rest
4543,0.0520016,0.0515447,0.0532848,rest
4546,0.0527516,0.0515675,0.0532848,rest
4549,0.0508766,0.0515601,0.0532848,rest
4551,0.0506265,0.0515276,0.0532848,rest
4554,0.0526266,0.0515353,0.0532848,rest
4557,0.0508766,0.0515402,0.0532848,rest
4560,0.0515016,0.0515575,0.0532848,rest
4563,0.0513766,0.0515349,0.0532848,rest
4565,0.0512516,0.0515071,0.0532848,rest
4568,0.0515016,0.0514946,0.0532848,rest
4570,0.0525016,0.0515172,0.0532848,rest
4573,0.0513766,0.0515123,0.0532848,rest
4576,0.0511266,0.0515048,0.0532848,rest
4578,0.0507516,0.0514824,0.0532848,rest
4581,0.0510016,0.0514674,0.0532848,rest
4583,0.0520016,0.0514649,0.0532848,rest
4586,0.0518766,0.0514649,0.0532848,rest
4589,0.0491265,0.0514184,0.0532848,rest
4592,0.0517516,0.0514259,0.0532848,rest
4595,0.0520016,0.0514284,0.0532848,rest
4598,0.0496265,0.0514089,0.0532848,rest
4600,0.0501265,0.0513538,0.0532848,rest
4603,0.0517516,0.0513335,0.0532848,rest
4606,0.0515016,0.051341,0.0532848,rest
4609,0.0508766,0.0513057,0.0532848,rest
4612,0.0511266,0.051318,0.0532848,rest
4614,0.0513766,0.0513403,0.0532848,rest
4617,0.0513766,0.0513353,0.0532848,rest
4620,0.0516266,0.0513303,0.0532848,rest
4623,0.0498765,0.0512906,0.0532848,rest
