timestamp_ms,raw_adc,emg_voltage_V,rms_V,ratio,state
4304,846,0.0132192,0.0132127,1.02276,rest
4307,845,0.0132035,0.0132122,1.02273,rest
4309,840,0.0131254,0.0132079,1.02239,rest
4312,832,0.0130004,0.0131976,1.02159,rest
4315,840,0.0131254,0.013194,1.02131,rest
4317,854,0.0133442,0.0132016,1.0219,rest
4320,837,0.0130785,0.0131954,1.02142,rest
4323,838,0.0130942,0.0131904,1.02103,rest
4326,853,0.0133285,0.0131973,1.02157,rest
4329,824,0.0128754,0.0131814,1.02034,rest
4332,821,0.0128285,0.013164,1.01899,rest
4335,843,0.0131723,0.0131644,1.01902,rest
4338,835,0.0130473,0.0131586,1.01857,rest
4341,835,0.0130473,0.013153,1.01814,rest
4344,853,0.0133285,0.0131619,1.01883,rest
4347,844,0.0131879,0.0131632,1.01893,rest
4350,849,0.013266,0.0131683,1.01933,rest
4352,838,0.0130942,0.0131646,1.01904,rest
4355,819,0.0127973,0.0131465,1.01764,rest
4358,843,0.0131723,0.0131478,1.01774,rest
4361,855,0.0133598,0.0131585,1.01856,rest
4364,850,0.0132817,0.0131647,1.01904,rest
4367,845,0.0132035,0.0131666,1.01919,rest
4369,850,0.0132817,0.0131724,1.01964,rest
4372,834,0.0130316,0.0131654,1.0191,rest
4375,832,0.0130004,0.0131572,1.01846,rest
4378,840,0.0131254,0.0131556,1.01834,rest
4381,842,0.0131567,0.0131557,1.01834,rest
4383,846,0.0132192,0.0131588,1.01859,rest
4386,860,0.0134379,0.0131729,1.01968,rest
4389,844,0.0131879,0.0131737,1.01974,rest
4392,841,0.013141,0.013172,1.01961,rest
4395,838,0.0130942,0.0131682,1.01931,rest
4397,839,0.0131098,0.0131653,1.01909,rest
4400,848,0.0132504,0.0131695,1.01942,rest
4403,851,0.0132973,0.0131759,1.01992,rest
4406,853,0.0133285,0.0131836,1.02051,rest
4409,854,0.0133442,0.0131917,1.02113,rest
4412,845,0.0132035,0.0131923,1.02118,rest
4415,842,0.0131567,0.0131905,1.02104,rest
4417,862,0.0134692,0.0132046,1.02213,rest
4420,857,0.013391,0.013214,1.02286,rest
4423,844,0.0131879,0.0132127,1.02276,rest
4426,845,0.0132035,0.0132122,1.02272,rest
4428,849,0.013266,0.0132149,1.02293,rest
4431,839,0.0131098,0.0132097,1.02253,rest
4434,845,0.0132035,0.0132094,1.0225,rest
4436,838,0.0130942,0.0132036,1.02206,rest
4439,830,0.0129691,0.013192,1.02116,rest
4442,843,0.0131723,0.013191,1.02108,rest
4445,835,0.0130473,0.0131839,1.02053,rest
4448,863,0.0134848,0.0131991,1.02171,rest
4450,850,0.0132817,0.0132032,1.02203,rest
4453,864,0.0135004,0.0132182,1.02319,rest
4456,847,0.0132348,0.0132191,1.02325,rest
4459,837,0.0130785,0.0132121,1.02271,rest
4461,846,0.0132192,0.0132124,1.02274,rest
4464,835,0.0130473,0.0132042,1.0221,rest
4467,849,0.013266,0.0132073,1.02234,rest
4469,846,0.0132192,0.0132079,1.02239,rest
4472,856,0.0133754,0.0132163,1.02304,rest
4475,835,0.0130473,0.0132079,1.02239,rest
4478,834,0.0130316,0.0131992,1.02171,rest
4481,863,0.0134848,0.0132136,1.02283,rest
4483,859,0.0134223,0.0132241,1.02364,rest
4486,855,0.0133598,0.0132309,1.02417,rest
4489,848,0.0132504,0.0132319,1.02425,rest
4492,847,0.0132348,0.013232,1.02426,rest
4495,857,0.013391,0.01324,1.02488,rest
4498,843,0.0131723,0.0132367,1.02462,rest
4500,844,0.0131879,0.0132342,1.02443,rest
4503,843,0.0131723,0.0132311,1.02419,rest
4506,844,0.0131879,0.013229,1.02402,rest
4509,839,0.0131098,0.013223,1.02356,rest
4512,834,0.0130316,0.0132135,1.02283,rest
4514,839,0.0131098,0.0132084,1.02243,rest
4517,832,0.0130004,0.013198,1.02163,rest
4520,852,0.0133129,0.0132038,1.02207,rest
4523,844,0.0131879,0.013203,1.02201,rest
4526,842,0.0131567,0.0132007,1.02183,rest
4528,841,0.013141,0.0131977,1.0216,rest
4531,848,0.0132504,0.0132004,1.02181,rest
4534,846,0.0132192,0.0132013,1.02188,rest
4537,850,0.0132817,0.0132053,1.02219,rest
4540,834,0.0130316,0.0131967,1.02152,rest
4542,826,0.0129066,0.0131824,1.02041,rest
4545,857,0.013391,0.0131929,1.02123,rest
4548,840,0.0131254,0.0131895,1.02096,rest
4551,833,0.013016,0.0131809,1.0203,rest
4553,835,0.0130473,0.0131742,1.01978,rest
4556,844,0.0131879,0.0131749,1.01984,rest
4559,835,0.0130473,0.0131686,1.01934,rest
4562,845,0.0132035,0.0131703,1.01948,rest
4565,836,0.0130629,0.013165,1.01907,rest
4568,854,0.0133442,0.013174,1.01976,rest
4571,839,0.0131098,0.0131708,1.01952,rest
4573,834,0.0130316,0.0131639,1.01898,rest
4576,825,0.012891,0.0131504,1.01793,rest
4579,843,0.0131723,0.0131514,1.01802,rest
4582,835,0.0130473,0.0131463,1.01762,rest
4585,844,0.0131879,0.0131483,1.01778,rest
4587,854,0.0133442,0.0131582,1.01854,rest
4590,830,0.0129691,0.0131488,1.01782,rest
4593,834,0.0130316,0.013143,1.01736,rest
4598,842,0.0131567,0.0131437,1.01742,rest
4601,846,0.0132192,0.0131475,1.01771,rest
4604,847,0.0132348,0.0131518,1.01805,rest
4607,806,0.0125941,0.0131245,1.01593,rest
4610,856,0.0133754,0.0131372,1.01691,rest
4613,847,0.0132348,0.0131421,1.01729,rest
4616,836,0.0130629,0.0131381,1.01699,rest
4620,850,0.0132817,0.0131453,1.01755,rest
4622,845,0.0132035,0.0131482,1.01777,rest
4627,842,0.0131567,0.0131487,1.0178,rest
4629,832,0.0130004,0.0131413,1.01723,rest
4632,841,0.013141,0.0131413,1.01723,rest
4635,835,0.0130473,0.0131366,1.01687,rest
4637,841,0.013141,0.0131368,1.01689,rest
4640,832,0.0130004,0.01313,1.01636,rest
4643,835,0.0130473,0.0131259,1.01604,rest
4645,833,0.013016,0.0131204,1.01562,rest
4648,832,0.0130004,0.0131145,1.01516,rest
4651,847,0.0132348,0.0131205,1.01562,rest
4653,835,0.0130473,0.0131168,1.01534,rest
4656,845,0.0132035,0.0131212,1.01568,rest
4659,845,0.0132035,0.0131253,1.016,rest
4661,844,0.0131879,0.0131285,1.01624,rest
4664,864,0.0135004,0.0131473,1.0177,rest
4667,862,0.0134692,0.0131636,1.01896,rest
4669,828,0.0129379,0.0131524,1.01809,rest
4672,840,0.0131254,0.013151,1.01799,rest
4674,835,0.0130473,0.0131459,1.01759,rest
4677,851,0.0132973,0.0131535,1.01818,rest
4680,837,0.0130785,0.0131497,1.01789,rest
4683,834,0.0130316,0.0131439,1.01743,rest
4685,841,0.013141,0.0131437,1.01742,rest
4688,852,0.0133129,0.0131522,1.01808,rest
4690,829,0.0129535,0.0131424,1.01732,rest
4693,859,0.0134223,0.0131565,1.01841,rest
